n_per_class,gate_type,n_trials,probe_test_acc_mean,probe_test_acc_std,H_mean,H_std,C_mean,C_std,UA_mean,UA_std,oracle_gap_mean,oracle_gap_std,gate_on_mean,gate_on_std
2,hard,5,0.88,0.1226,0.6934,0.0389,0.6,0.0211,0.0067,0.0133,0.0264,0.0389,30.0,8.9
2,soft_T0.1,5,0.88,0.1226,0.7467,0.0748,0.5867,0.0266,0.0067,0.0133,0.0797,0.0748,44.6,1.6
2,soft_T0.3,5,0.88,0.1226,0.84,0.0134,0.5533,0.0267,0.0067,0.0133,0.173,0.0134,60.0,0.0
3,confidence_aware,5,0.9033,0.0679,0.7067,0.0646,0.6,0.0,0.0067,0.0133,0.0397,0.0646,26.2,6.2
3,hard,5,0.9033,0.0679,0.7,0.0516,0.6,0.0365,0.0067,0.0133,0.033,0.0516,29.8,7.1
3,soft_T0.1,5,0.9033,0.0679,0.7133,0.0653,0.6067,0.0249,0.0067,0.0133,0.0463,0.0653,42.2,3.5
3,soft_T0.3,5,0.9033,0.0679,0.84,0.0134,0.5467,0.0164,0.0,0.0,0.173,0.0134,60.0,0.0
5,confidence_aware,5,0.9967,0.0067,0.6667,0.0,0.6,0.0,0.0,0.0,-0.0003,0.0,30.0,0.0
5,hard,5,0.9967,0.0067,0.6667,0.0,0.6067,0.0133,0.0,0.0,-0.0003,0.0,30.2,0.4
5,soft_T0.1,5,0.9967,0.0067,0.68,0.0163,0.6067,0.0133,0.0,0.0,0.013,0.0163,35.2,2.3
5,soft_T0.3,5,0.9967,0.0067,0.8333,0.0,0.54,0.0134,0.0,0.0,0.1663,0.0,60.0,0.0
7,hard,2,0.9916,0.0084,0.6667,0.0,0.6166,0.0166,0.0,0.0,-0.0003,0.0,30.5,0.5
7,soft_T0.1,2,0.9916,0.0084,0.6667,0.0,0.6166,0.0166,0.0,0.0,-0.0003,0.0,40.5,3.5
7,soft_T0.3,2,0.9916,0.0084,0.8333,0.0,0.55,0.0167,0.0,0.0,0.1663,0.0,60.0,0.0
10,hard,1,0.9833,0.0,0.6667,0.0,0.6333,0.0,0.0,0.0,-0.0003,0.0,31.0,0.0
10,soft_T0.1,1,0.9833,0.0,0.6667,0.0,0.6,0.0,0.0,0.0,-0.0003,0.0,35.0,0.0
15,hard,1,1.0,0.0,0.6667,0.0,0.6,0.0,0.0,0.0,-0.0003,0.0,30.0,0.0
15,soft_T0.1,1,1.0,0.0,0.6667,0.0,0.6,0.0,0.0,0.0,-0.0003,0.0,34.0,0.0
