experiment,layer,alpha,base_rate,oracle_rate,oracle_delta,snr,probe_cv_acc,behavior,seed,mode,alpha_sign,base_correct_rate,oracle_correct_rate
D1_reverse,6,-0.8,0.7,0.7,0.0,1.2344513,0.9666666666666667,sycophancy,0,oracle_only,negative,,
D1_reverse,6,-1.0,0.7,0.7,0.0,1.2344513,0.9666666666666667,sycophancy,0,oracle_only,negative,,
D1_reverse,6,-1.2,0.7,0.7,0.0,1.2344513,0.9666666666666667,sycophancy,0,oracle_only,negative,,
D1_reverse,10,-0.8,0.7,0.7,0.0,1.2444615,0.9333333333333332,sycophancy,0,oracle_only,negative,,
D1_reverse,10,-1.0,0.7,0.7,0.0,1.2444615,0.9333333333333332,sycophancy,0,oracle_only,negative,,
D1_reverse,10,-1.2,0.7,0.7,0.0,1.2444615,0.9333333333333332,sycophancy,0,oracle_only,negative,,
D1_reverse,14,-0.8,0.7,0.7,0.0,1.2671177,0.9333333333333332,sycophancy,0,oracle_only,negative,,
D1_reverse,14,-1.0,0.7,0.7,0.0,1.2671177,0.9333333333333332,sycophancy,0,oracle_only,negative,,
D1_reverse,14,-1.2,0.7,0.7,0.0,1.2671177,0.9333333333333332,sycophancy,0,oracle_only,negative,,
D1_reverse,18,-0.8,0.7,0.7,0.0,1.0814116,0.9,sycophancy,0,oracle_only,negative,,
D1_reverse,18,-1.0,0.7,0.7,0.0,1.0814116,0.9,sycophancy,0,oracle_only,negative,,
D1_reverse,18,-1.2,0.7,0.7,0.0,1.0814116,0.9,sycophancy,0,oracle_only,negative,,
D1_reverse,22,-0.8,0.7,0.7,0.0,0.965239,0.9,sycophancy,0,oracle_only,negative,,
D1_reverse,22,-1.0,0.7,0.7,0.0,0.965239,0.9,sycophancy,0,oracle_only,negative,,
D1_reverse,22,-1.2,0.7,0.7,0.0,0.965239,0.9,sycophancy,0,oracle_only,negative,,
D2_reverse,12,0.6,,,-0.4,1.818777,1.0,correctness,0,oracle_only,positive,0.43333333333333335,0.03333333333333333
D2_reverse,12,0.8,,,-0.4,1.818777,1.0,correctness,0,oracle_only,positive,0.43333333333333335,0.03333333333333333
D2_reverse,12,1.0,,,-0.4,1.818777,1.0,correctness,0,oracle_only,positive,0.43333333333333335,0.03333333333333333
