mode,n,n_correct,factual_error_rate,correct_answer_rate,avg_output_len,seed,layer,alpha,vector_type,scenario
base,30,13,0.5666666666666667,0.43333333333333335,163.2,0,12,0.0,none,standard
oracle_factuality_gate_a-0.8,30,13,0.5666666666666667,0.43333333333333335,163.33333333333334,0,12,-0.8,steering,standard
real_factuality_gate_a-0.8,30,13,0.5666666666666667,0.43333333333333335,165.66666666666666,0,12,-0.8,steering,standard
random_factuality_gate_a-0.8,30,13,0.5666666666666667,0.43333333333333335,158.76666666666668,0,12,-0.8,random,standard
shuffled_factuality_gate_a-0.8,30,13,0.5666666666666667,0.43333333333333335,165.3,0,12,-0.8,shuffled,standard
oracle_factuality_gate_a-1.0,30,13,0.5666666666666667,0.43333333333333335,160.4,0,12,-1.0,steering,standard
real_factuality_gate_a-1.0,30,13,0.5666666666666667,0.43333333333333335,166.6,0,12,-1.0,steering,standard
random_factuality_gate_a-1.0,30,13,0.5666666666666667,0.43333333333333335,158.66666666666666,0,12,-1.0,random,standard
shuffled_factuality_gate_a-1.0,30,13,0.5666666666666667,0.43333333333333335,166.13333333333333,0,12,-1.0,shuffled,standard
oracle_factuality_gate_a-1.2,30,13,0.5666666666666667,0.43333333333333335,157.83333333333334,0,12,-1.2,steering,standard
real_factuality_gate_a-1.2,30,13,0.5666666666666667,0.43333333333333335,166.3,0,12,-1.2,steering,standard
random_factuality_gate_a-1.2,30,13,0.5666666666666667,0.43333333333333335,158.5,0,12,-1.2,random,standard
shuffled_factuality_gate_a-1.2,30,13,0.5666666666666667,0.43333333333333335,164.1,0,12,-1.2,shuffled,standard
base,30,13,0.5666666666666667,0.43333333333333335,171.9,1,12,0.0,none,standard
oracle_factuality_gate_a-0.8,30,14,0.5333333333333333,0.4666666666666667,169.3,1,12,-0.8,steering,standard
real_factuality_gate_a-0.8,30,14,0.5333333333333333,0.4666666666666667,166.63333333333333,1,12,-0.8,steering,standard
random_factuality_gate_a-0.8,30,13,0.5666666666666667,0.43333333333333335,173.7,1,12,-0.8,random,standard
shuffled_factuality_gate_a-0.8,30,14,0.5333333333333333,0.4666666666666667,161.16666666666666,1,12,-0.8,shuffled,standard
oracle_factuality_gate_a-1.0,30,15,0.5,0.5,170.0,1,12,-1.0,steering,standard
real_factuality_gate_a-1.0,30,14,0.5333333333333333,0.4666666666666667,166.7,1,12,-1.0,steering,standard
random_factuality_gate_a-1.0,30,12,0.6,0.4,175.13333333333333,1,12,-1.0,random,standard
shuffled_factuality_gate_a-1.0,30,15,0.5,0.5,157.56666666666666,1,12,-1.0,shuffled,standard
oracle_factuality_gate_a-1.2,30,13,0.5666666666666667,0.43333333333333335,174.03333333333333,1,12,-1.2,steering,standard
real_factuality_gate_a-1.2,30,13,0.5666666666666667,0.43333333333333335,169.66666666666666,1,12,-1.2,steering,standard
random_factuality_gate_a-1.2,30,13,0.5666666666666667,0.43333333333333335,171.93333333333334,1,12,-1.2,random,standard
shuffled_factuality_gate_a-1.2,30,15,0.5,0.5,152.66666666666666,1,12,-1.2,shuffled,standard
base,30,13,0.5666666666666667,0.43333333333333335,184.43333333333334,2,12,0.0,none,standard
oracle_factuality_gate_a-0.8,30,13,0.5666666666666667,0.43333333333333335,168.9,2,12,-0.8,steering,standard
real_factuality_gate_a-0.8,30,13,0.5666666666666667,0.43333333333333335,178.93333333333334,2,12,-0.8,steering,standard
random_factuality_gate_a-0.8,30,13,0.5666666666666667,0.43333333333333335,187.26666666666668,2,12,-0.8,random,standard
shuffled_factuality_gate_a-0.8,30,13,0.5666666666666667,0.43333333333333335,182.63333333333333,2,12,-0.8,shuffled,standard
oracle_factuality_gate_a-1.0,30,13,0.5666666666666667,0.43333333333333335,175.36666666666667,2,12,-1.0,steering,standard
real_factuality_gate_a-1.0,30,13,0.5666666666666667,0.43333333333333335,184.53333333333333,2,12,-1.0,steering,standard
random_factuality_gate_a-1.0,30,13,0.5666666666666667,0.43333333333333335,188.9,2,12,-1.0,random,standard
shuffled_factuality_gate_a-1.0,30,13,0.5666666666666667,0.43333333333333335,183.43333333333334,2,12,-1.0,shuffled,standard
oracle_factuality_gate_a-1.2,30,13,0.5666666666666667,0.43333333333333335,176.13333333333333,2,12,-1.2,steering,standard
real_factuality_gate_a-1.2,30,13,0.5666666666666667,0.43333333333333335,183.66666666666666,2,12,-1.2,steering,standard
random_factuality_gate_a-1.2,30,13,0.5666666666666667,0.43333333333333335,194.16666666666666,2,12,-1.2,random,standard
shuffled_factuality_gate_a-1.2,30,13,0.5666666666666667,0.43333333333333335,181.03333333333333,2,12,-1.2,shuffled,standard
