layer,alpha,mode,train_acc,cv_acc,snr,inter_class,sycophancy_rate,delta,vector_type
8,0.0,probe_stats,1.0,0.9444444444444445,1.4407713413238525,2.8938140869140625,,,none
8,-1.0,oracle_gate,,,,,0.6333333333333333,0.0,steering
8,-1.0,random_gate,,,,,0.6333333333333333,0.0,random
8,-1.0,shuffled_gate,,,,,0.6,-0.033333333333333326,shuffled
10,0.0,probe_stats,1.0,0.9444444444444445,1.5488605499267578,3.4006683826446533,,,none
10,-1.0,oracle_gate,,,,,0.6333333333333333,0.0,steering
10,-1.0,random_gate,,,,,0.6333333333333333,0.0,random
10,-1.0,shuffled_gate,,,,,0.6333333333333333,0.0,shuffled
12,0.0,probe_stats,1.0,0.9444444444444445,1.377697467803955,4.0410614013671875,,,none
12,-1.0,oracle_gate,,,,,0.6333333333333333,0.0,steering
12,-1.0,random_gate,,,,,0.6333333333333333,0.0,random
12,-1.0,shuffled_gate,,,,,0.6333333333333333,0.0,shuffled
14,0.0,probe_stats,1.0,0.9444444444444445,1.4395153522491455,6.119102954864502,,,none
14,-1.0,oracle_gate,,,,,0.6,-0.033333333333333326,steering
14,-1.0,random_gate,,,,,0.6333333333333333,0.0,random
14,-1.0,shuffled_gate,,,,,0.6333333333333333,0.0,shuffled
16,0.0,probe_stats,1.0,0.9444444444444445,1.2330201864242554,6.501376628875732,,,none
16,-1.0,oracle_gate,,,,,0.6333333333333333,0.0,steering
16,-1.0,random_gate,,,,,0.6333333333333333,0.0,random
16,-1.0,shuffled_gate,,,,,0.6333333333333333,0.0,shuffled
