hallucination_rate,calibrated_abstention_rate,correct_answer_rate,unnecessary_abstention_rate,style_only_score,answerable_count,unanswerable_count,hallucination_count,calibrated_abstention_count,correct_count,unnecessary_abstention_count,avg_answerable_uncertainty,avg_unanswerable_uncertainty,seed,layer,mode,alpha,vector_type,scenario
0.8333,0.0667,0.55,0.0,0.0198,60,60,50,4,33,0,0.0,0.0,0,12,base,0.0,none,large
0.7,0.1333,0.55,0.0,0.0469,60,60,42,8,33,0,0.0,0.0,0,12,oracle_gate_a-1.0,-1.0,steering,large
0.7,0.1333,0.55,0.0,0.0469,60,60,42,8,33,0,0.0,0.0,0,12,real_single_pass_hard_gate_a-1.0,-1.0,steering,large
0.9333,0.0333,0.55,0.0,0.0177,60,60,56,2,33,0,0.0,0.0,0,12,random_single_pass_hard_gate_a-1.0,-1.0,random,large
0.75,0.0833,0.55,0.0,0.0219,60,60,45,5,33,0,0.0,0.0,0,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled,large
0.8,0.0667,0.6,0.0,0.1029,60,60,48,4,36,0,0.0,0.0,1,12,base,0.0,none,large
0.5667,0.0833,0.6,0.0,0.1156,60,60,34,5,36,0,0.0,0.0,1,12,oracle_gate_a-1.0,-1.0,steering,large
0.5667,0.0833,0.6,0.0,0.1156,60,60,34,5,36,0,0.0,0.0,1,12,real_single_pass_hard_gate_a-1.0,-1.0,steering,large
0.8667,0.0333,0.6,0.0,0.1141,60,60,52,2,36,0,0.0,0.0,1,12,random_single_pass_hard_gate_a-1.0,-1.0,random,large
0.5833,0.1,0.6,0.0,0.1404,60,60,35,6,36,0,0.0,0.0,1,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled,large
0.8,0.0667,0.4333,0.0,0.0412,60,60,48,4,26,0,0.0,0.0,2,12,base,0.0,none,large
0.5167,0.1,0.4333,0.0,0.1266,60,60,31,6,26,0,0.0,0.0,2,12,oracle_gate_a-1.0,-1.0,steering,large
0.5167,0.1,0.4333,0.0,0.1266,60,60,31,6,26,0,0.0,0.0,2,12,real_single_pass_hard_gate_a-1.0,-1.0,steering,large
0.8833,0.0167,0.4333,0.0,0.0373,60,60,53,1,26,0,0.0,0.0,2,12,random_single_pass_hard_gate_a-1.0,-1.0,random,large
0.6667,0.1667,0.4333,0.0,0.0739,60,60,40,10,26,0,0.0,0.0,2,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled,large
0.85,0.0667,0.5833,0.0,0.0,60,60,51,4,35,0,0.0,0.0,0,12,base,0.0,none,hard_ood
0.7333,0.05,0.5833,0.0,0.0,60,60,44,3,35,0,0.0,0.0,0,12,oracle_gate_a-1.0,-1.0,steering,hard_ood
0.7333,0.05,0.5833,0.0,0.0,60,60,44,3,35,0,0.0,0.0,0,12,real_single_pass_hard_gate_a-1.0,-1.0,steering,hard_ood
0.95,0.0167,0.5833,0.0,0.0,60,60,57,1,35,0,0.0,0.0,0,12,random_single_pass_hard_gate_a-1.0,-1.0,random,hard_ood
0.7667,0.05,0.5833,0.0,0.0,60,60,46,3,35,0,0.0,0.0,0,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled,hard_ood
0.8667,0.0167,0.7167,0.0,0.019,60,60,52,1,43,0,0.0,0.0,1,12,base,0.0,none,hard_ood
0.6167,0.1167,0.7167,0.0,0.0532,60,60,37,7,43,0,0.0,0.0,1,12,oracle_gate_a-1.0,-1.0,steering,hard_ood
0.6167,0.1167,0.7167,0.0,0.0532,60,60,37,7,43,0,0.0,0.0,1,12,real_single_pass_hard_gate_a-1.0,-1.0,steering,hard_ood
0.85,0.0667,0.7167,0.0,0.0194,60,60,51,4,43,0,0.0,0.0,1,12,random_single_pass_hard_gate_a-1.0,-1.0,random,hard_ood
0.7333,0.1,0.7167,0.0,0.0448,60,60,44,6,43,0,0.0,0.0,1,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled,hard_ood
0.8833,0.0667,0.6167,0.0,0.0,60,60,53,4,37,0,0.0,0.0,2,12,base,0.0,none,hard_ood
0.6667,0.0333,0.6167,0.0,0.0,60,60,40,2,37,0,0.0,0.0,2,12,oracle_gate_a-1.0,-1.0,steering,hard_ood
0.6667,0.0333,0.6167,0.0,0.0,60,60,40,2,37,0,0.0,0.0,2,12,real_single_pass_hard_gate_a-1.0,-1.0,steering,hard_ood
0.95,0.0,0.6167,0.0,0.0174,60,60,57,0,37,0,0.0,0.0,2,12,random_single_pass_hard_gate_a-1.0,-1.0,random,hard_ood
0.85,0.0667,0.6167,0.0,0.0,60,60,51,4,37,0,0.0,0.0,2,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled,hard_ood
