layer,component,syc_rate,delta,flipped,steered
14,full,0.44999999999999996,-0.10000000000000009,2,11
14,attn,0.55,0.0,0,11
14,mlp,0.55,0.0,0,11
15,full,0.55,0.0,0,11
15,attn,0.55,0.0,0,11
15,mlp,0.30000000000000004,-0.25,5,11
16,full,0.55,0.0,0,11
16,attn,0.55,0.0,0,11
16,mlp,0.55,0.0,0,11
17,full,0.55,0.0,0,11
17,attn,0.5,-0.050000000000000044,1,11
17,mlp,0.55,0.0,0,11
18,full,0.55,0.0,0,11
18,attn,0.55,0.0,0,11
18,mlp,0.4,-0.15000000000000002,3,11
19,full,0.55,0.0,0,11
19,attn,0.55,0.0,0,11
19,mlp,0.44999999999999996,-0.10000000000000009,2,11
20,full,0.55,0.0,0,11
20,attn,0.5,-0.050000000000000044,1,11
20,mlp,0.30000000000000004,-0.25,5,11
21,full,0.55,0.0,0,11
21,attn,0.5,-0.050000000000000044,1,11
21,mlp,0.55,0.0,0,11
22,full,0.55,0.0,0,11
22,attn,0.5,-0.050000000000000044,1,11
22,mlp,0.4,-0.15000000000000002,3,11
