layer,patch,k,syc_rate,delta,flipped,steered
15,top,10,0.55,0.0,0,11
15,bottom,10,0.55,0.0,0,11
15,top,50,0.55,0.0,0,11
15,bottom,50,0.55,0.0,0,11
15,top,100,0.55,0.0,0,11
15,bottom,100,0.55,0.0,0,11
15,top,200,0.55,0.0,0,11
15,bottom,200,0.55,0.0,0,11
15,top,896,0.30000000000000004,-0.25,5,11
15,bottom,896,0.30000000000000004,-0.25,5,11
18,top,10,0.55,0.0,0,11
18,bottom,10,0.55,0.0,0,11
18,top,50,0.5,-0.050000000000000044,1,11
18,bottom,50,0.55,0.0,0,11
18,top,100,0.5,-0.050000000000000044,1,11
18,bottom,100,0.55,0.0,0,11
18,top,200,0.4,-0.15000000000000002,3,11
18,bottom,200,0.55,0.0,0,11
18,top,896,0.4,-0.15000000000000002,3,11
18,bottom,896,0.4,-0.15000000000000002,3,11
20,top,10,0.55,0.0,0,11
20,bottom,10,0.55,0.0,0,11
20,top,50,0.55,0.0,0,11
20,bottom,50,0.55,0.0,0,11
20,top,100,0.55,0.0,0,11
20,bottom,100,0.55,0.0,0,11
20,top,200,0.5,-0.050000000000000044,1,11
20,bottom,200,0.55,0.0,0,11
20,top,896,0.30000000000000004,-0.25,5,11
20,bottom,896,0.30000000000000004,-0.25,5,11
