K,var_pct,syc_rate,delta,flipped,n_steered,n_total,avg_len,avg_rep
1,46.078526,0.45,-0.10000000000000003,3,11,20,206.85,0.1345523202362426
2,62.643562,0.45,-0.10000000000000003,3,11,20,206.3,0.13184146519980616
3,75.734665,0.4,-0.15000000000000002,3,11,20,203.35,0.13312551880944118
5,85.74191,0.35,-0.20000000000000007,4,11,20,202.85,0.13412118980511217
10,93.679794,0.3,-0.25000000000000006,6,11,20,202.15,0.11862649015793572
20,98.93077,0.25,-0.30000000000000004,7,11,20,196.2,0.1136729297864187
50,100.00002,0.2,-0.35000000000000003,7,11,20,199.4,0.11769253762955596
100,100.00002,0.2,-0.35000000000000003,7,11,20,199.4,0.11769253762955596
200,100.00002,0.2,-0.35000000000000003,7,11,20,199.4,0.11769253762955596
896,100.00002,0.0,-0.55,11,11,20,198.8,0.11443430305253581
